"course_id","course_code","course_title","lec_hours","lab_hours","units","tuition_hours","created_at","updated_at"
"1","ACCO 20213","Accounting Principles","3","0","3","3","2024-10-24 00:36:38","2024-10-24 00:36:38"
"2","COMP 20013","Introduction to Computing","2","3","3","5","2024-10-24 00:37:10","2024-10-24 00:37:10"
"3","COMP 20023","Computer Programming 1","2","3","3","5","2024-10-24 00:37:48","2024-10-24 00:37:48"
"4","GEED 10053","Mathematics in the Modern World","3","0","3","3","2024-10-24 00:38:15","2024-10-24 00:38:15"
"5","GEED 10063","Purposive Communication","3","0","3","3","2024-10-24 00:38:40","2024-10-24 00:38:40"
"6","ICTE 10013","Basic Computer Hardware Servicing","2","3","3","5","2024-10-24 00:39:12","2024-10-24 00:39:12"
"7","NSTP 10013","CWTS/ROTC","3","0","3","0","2024-10-24 00:39:52","2024-10-24 00:39:52"
"8","OFAD 30013","Keyboarding and Documents Processing with Laboratory","2","3","3","5","2024-10-24 00:40:30","2024-10-24 00:40:30"
"9","PHED 01","Physical Education 1","2","0","2","2","2024-10-24 00:40:55","2024-10-24 00:40:55"
"10","COMP 20033","Computer Programming 2","2","3","3","5","2024-10-24 00:41:42","2024-10-24 00:41:42"
"11","COMP 20043","Discrete Structures 1","3","0","3","3","2024-10-24 00:42:23","2024-10-24 00:42:23"
"12","COMP 20233","Technopreneurship","3","0","3","3","2024-10-24 00:42:59","2024-10-24 00:42:59"
"13","ECEN 20102","Basic Electronics","0","6","2","6","2024-10-24 00:43:31","2024-10-24 00:43:31"
"14","GEED 10023","Understanding the Self","3","0","3","3","2024-10-24 00:44:04","2024-10-24 00:44:04"
"15","GEED 10083","Science, Technology and Society","3","0","3","3","2024-10-24 00:44:35","2024-10-24 00:44:35"
"16","ICTE 10023","Hardware/Software Installation and Maintenance","2","3","3","5","2024-10-24 00:45:23","2024-10-24 00:45:23"
"17","NSTP 10023","CWTS/ROTC","3","0","3","0","2024-10-24 00:45:52","2024-10-24 00:45:52"
"18","PHED 02","Physical Education 2","2","0","2","2","2024-10-24 00:46:21","2024-10-24 00:46:21"
"19","ICTE 10033","OJT 1 (Information Technology Assistant/Computer Programmer Aide - 300 hours)","2","3","3","5","2024-10-24 00:47:49","2024-10-24 00:47:49"
"20","BUMA 20063","Principles of Management and Organization","3","0","3","3","2024-10-24 00:48:31","2024-10-24 00:48:31"
"21","CMP 20063","Data Structures and Algorithms","2","3","3","5","2024-10-24 00:49:05","2024-10-24 00:49:05"
"22","COMP 20103","Operating Systems","2","3","3","5","2024-10-24 00:49:37","2024-10-24 00:49:37"
"23","COMP 20173","Data Communications and Networking","2","3","3","5","2024-10-24 00:50:13","2024-10-24 00:50:13"
"24","COMP 20263","Computer Programming 3","2","3","3","5","2024-10-24 00:50:53","2024-10-24 00:50:53"
"25","COMP 40013","Project Management","2","3","3","5","2024-10-24 00:51:24","2024-10-24 00:51:24"
"26","INTE 30163","Integrative Programming and Technologies","2","3","3","5","2024-10-24 00:52:05","2024-10-24 00:52:05"
"27","PHED 03","Physical Education 3","2","0","2","2","2024-10-24 00:52:28","2024-10-24 00:52:28"
"29","COMP 20083","Object Oriented Programming","2","3","3","5","2024-10-24 00:54:15","2024-10-24 00:54:15"
"30","COMP 20093","Information Management","2","3","3","5","2024-10-24 00:54:58","2024-10-24 00:54:58"
"31","COMP 20143","Human Computer Interaction","3","0","3","3","2024-10-24 00:55:34","2024-10-24 00:55:34"
"32","COMP 20163","Web Development","2","3","3","5","2024-10-24 00:56:15","2024-10-24 00:56:15"
"33","COMP 20203","Quantitative Methods with Modeling and Simulation","3","0","3","3","2024-10-24 00:57:08","2024-10-24 00:57:08"
"34","COMP 40033","Business Intelligence","2","3","3","5","2024-10-24 00:57:50","2024-10-24 00:57:50"
"35","ICTE 10043","Network Administration","2","3","3","5","2024-10-24 00:58:34","2024-10-24 00:58:34"
"36","PHED 04","Physical Education 4","2","0","2","2","2024-10-24 00:59:04","2024-10-24 00:59:04"
"37","SMAP 40053","Business Analytics (SMP Plus)","2","3","3","5","2024-10-24 00:59:59","2024-10-24 00:59:59"
"38","ICTE 10053","OJT 2 (Junior Programmer 1/Junior Programmer 2 - 300 hours)","2","3","3","5","2024-10-24 01:02:02","2024-10-24 01:02:02"
"39","COMP 20213","Database Administration","3","2","3","5","2024-10-24 01:02:52","2024-10-24 01:02:52"
"40","COMP 20243","Systems Analysis and Design","3","0","3","3","2024-10-24 01:03:20","2024-10-24 01:03:20"
"41","COMP 20253","Applications Development and Emerging Technologies","2","3","3","5","2024-10-24 01:04:03","2024-10-24 01:04:03"
"42","COMP 20293","Advance Programming","2","3","3","5","2024-10-24 01:04:35","2024-10-24 01:04:35"
"43","COMP 20303","Software Engineering","2","3","3","5","2024-10-24 01:05:02","2024-10-24 01:05:02"
"44","INTE 30043","Multimedia","2","3","3","5","2024-10-24 01:05:45","2024-10-24 01:05:45"
"45","INTE 30083","Systems Administration and Maintenance","2","3","3","5","2024-10-24 01:06:46","2024-10-24 01:06:46"
"46","ICTE 10066","Internship (Computer Programming Specialist - 600 hours)","6","0","6","6","2024-10-24 01:08:02","2024-10-24 01:08:02"
"47","GEED 032","Filipinolohiya at Pambansang Kaunlaran","3","0","3","3","2024-10-24 01:24:44","2024-10-24 01:24:44"
"48","GEED 005","Purposive Communication","3","0","3","3","2024-10-24 01:25:15","2024-10-24 01:25:15"
"49","GEED 004","Mathematics in the Modern World","3","0","3","3","2024-10-24 01:25:42","2024-10-24 01:25:42"
"50","ACCO 014","Principles of Accounting","3","0","3","3","2024-10-24 01:26:09","2024-10-24 01:26:09"
"51","COMP 001","Introduction to Computing","2","3","3","5","2024-10-24 01:26:45","2024-10-24 01:26:45"
"52","COMP 002","Computer Programming 1","2","3","3","5","2024-10-24 01:27:27","2024-10-24 01:27:27"
"53","PATHFit 1","Physical Activities Towards Health and Fitness 1","2","0","2","2","2024-10-24 01:28:36","2024-10-24 01:28:36"
"54","NSTP 001","National Service Training Program 1","3","0","3","3","2024-10-24 01:29:01","2024-10-24 01:29:01"
"55","GEED 033","Pagsasalin sa Kontekstong Filipino","3","0","3","3","2024-10-24 01:29:54","2024-10-24 01:29:54"
"56","GEED 002","Reading in Philippine History","3","0","3","3","2024-10-24 01:30:27","2024-10-24 01:30:42"
"57","GEED 020","Politics Governance and Citizenship","3","0","3","3","2024-10-24 01:31:17","2024-10-24 01:31:17"
"58","COMP 004","Discrete Structures 1","3","0","3","3","2024-10-24 01:31:53","2024-10-24 01:39:39"
"59","COMP 003","Computer Programming 2","2","3","3","5","2024-10-24 01:32:38","2024-10-24 01:32:38"
"60","GEED 010","People and the Earth's Ecosystem","3","0","3","3","2024-10-24 01:33:12","2024-10-24 01:33:12"
"61","PATHFit 2","Physical Activities Towards Health and Fitness 1 (PATHFit 2)","2","0","2","2","2024-10-24 01:34:08","2024-10-24 01:34:08"
"62","NSTP 002","National Service Training Program 2","3","0","3","3","2024-10-24 01:34:48","2024-10-24 01:34:48"
"63","GEED 001","Understanding the Self","3","0","3","3","2024-10-24 01:36:19","2024-10-24 01:36:19"
"64","GEED 028","Reading Visual Arts","3","0","3","3","2024-10-24 01:36:53","2024-10-24 01:36:53"
"65","INTE-FE 1","BSIT Free Elective 1","3","0","3","3","2024-10-24 01:37:35","2024-10-24 01:38:12"
"66","COMP 007","Operating Systems","2","3","3","5","2024-10-24 01:40:33","2024-10-24 01:40:33"
"67","INTE 201","Programming 3 (Structured Programming)","2","3","3","5","2024-10-24 01:41:25","2024-10-24 01:41:25"
"68","COMP 008","Data Communications and Networking","2","3","3","5","2024-10-24 01:42:00","2024-10-24 01:42:00"
"69","COMP 006","Physical Activities Towards Health and Fitness 3 (PATHFit 3)","2","0","2","2","2024-10-24 01:42:43","2024-10-24 01:42:43"
"70","COMP 006","Data Structures and Algorithms","2","3","3","5","2024-10-24 01:43:41","2024-10-24 01:43:41"
"71","INTE-FE2","BSIT Free Elective 2","3","0","3","3","2024-10-24 01:44:25","2024-10-24 01:44:25"
"72","COMP 012","Network Administration","2","3","3","5","2024-10-24 01:45:00","2024-10-24 01:45:00"
"73","COMP 013","Human Computer Interaction","3","0","3","3","2024-10-24 01:45:30","2024-10-24 01:45:30"
"74","COMP 014","Quantitative Methods with Modeling and Simulation","3","0","3","3","2024-10-24 01:46:06","2024-10-24 01:46:06"
"75","INTE 202","Integrative Programming and Technologies 1","2","3","3","5","2024-10-24 01:46:35","2024-10-24 01:46:35"
"76","COMP 009","Object Oriented Programming","2","3","3","5","2024-10-24 01:47:11","2024-10-24 01:47:11"
"77","COMP 010","Information Management","2","3","3","5","2024-10-24 01:47:52","2024-10-24 01:47:52"
"78","PATHFit 4","Physical Activities Towards Health and Fitness 4 (PATHFit 4)","2","0","2","2","2024-10-24 01:48:34","2024-10-24 01:48:34"
"79","GEED 006","Art Appreciation","3","0","3","3","2024-10-24 01:49:13","2024-10-24 01:49:13"
"80","COMP 016","Web Development","2","3","3","5","2024-10-24 01:49:58","2024-10-24 01:49:58"
"81","INTE 301","System Integration and Architecture 1","3","0","3","3","2024-10-24 01:50:34","2024-10-24 01:50:34"
"82","COMP 017","Multimedia","2","3","3","5","2024-10-24 01:50:56","2024-10-24 01:50:56"
"83","INTE-E1","IT Elective 1","2","3","2","5","2024-10-24 01:51:23","2024-10-24 01:51:23"
"84","COMP 018","Database Administration","2","3","3","5","2024-10-24 01:51:48","2024-10-24 01:51:48"
"85","COMP 015","Fundamentals of Research","3","0","3","3","2024-10-24 01:52:13","2024-10-24 01:52:13"
"86","GEED 003","The Contemporary World","3","0","3","3","2024-10-24 01:52:46","2024-10-24 01:52:46"
"87","H333RMA001","Principles of Management and Organization","3","0","3","3","2024-10-24 01:53:24","2024-10-24 01:53:24"
"88","INTE 302","Information Assurance and Security 1","2","3","3","5","2024-10-24 01:54:09","2024-10-24 01:54:09"
"89","GEED 008","Ethics","3","0","3","3","2024-10-24 01:54:36","2024-10-24 01:54:36"
"90","INTE 303","Capstone Project 1","2","3","3","5","2024-10-24 01:55:30","2024-10-24 01:55:30"
"91","INTE-E2","IT Elective 2","2","3","3","5","2024-10-24 01:56:02","2024-10-24 01:56:02"
"92","COMP 019","Applications Development and Emerging Technologies","2","3","3","5","2024-10-24 01:56:44","2024-10-24 01:56:44"
"93","GEED 037","Buhay at Mga Sinulat ni Rizal","3","0","3","3","2024-10-24 01:57:22","2024-10-24 01:57:22"
"94","INTE-E3","IT Elective 3","2","3","3","5","2024-10-24 01:57:57","2024-10-24 01:57:57"
"95","GEED 007","Science, Technology, and Society","3","0","3","3","2024-10-24 01:58:55","2024-10-24 01:58:55"
"96","COMP 023","Social and Professional Issues in Computing","3","0","3","3","2024-10-24 02:00:00","2024-10-24 02:00:00"
"97","INTE-401","Information Assurance and Security 2","3","0","3","3","2024-10-24 02:00:48","2024-10-24 02:00:48"
"98","INTE 402","Capstone Project 2","3","0","3","3","2024-10-24 02:01:46","2024-10-24 02:01:46"
"99","INTE 403","Systems Administration and Maintenance","2","3","3","5","2024-10-24 02:02:35","2024-10-24 02:02:35"
"100","INTE-E4","IT Elective 4","2","3","3","5","2024-10-24 02:03:03","2024-10-24 02:03:23"
"101","INTE 404","Practicum (500 Hours)","6","0","6","6","2024-10-24 02:04:39","2024-10-24 02:04:39"
"102","COMP 024","Technoprenuership","3","0","3","3","2024-10-24 02:05:54","2024-10-24 02:05:54"
"103","ACCO 101","Financial Accounting and Reporting","6","0","6","6","2024-10-24 02:29:56","2024-10-24 02:29:56"
"104","LAW 101","Law on Obligation and Contracts","3","0","3","3","2024-10-24 02:32:25","2024-10-24 02:32:25"
"105","GEED 001","Understanding the Self","3","0","3","3","2024-10-24 02:32:53","2024-10-24 02:32:53"
"106","ECON 351","Managerial Economics","3","0","3","3","2024-10-24 02:33:19","2024-10-24 02:33:19"
"107","GEED 007","Science, Technology, and Society","3","0","3","3","2024-10-24 02:33:46","2024-10-24 02:33:46"
"108","CWTS 001","National Service Training Program 1","3","0","3","3","2024-10-24 02:34:24","2024-10-24 02:34:24"
"109","PATHFit 1","Physical Activity Towards Health and Fitness 1","2","0","2","2","2024-10-24 02:34:56","2024-10-24 02:34:56"
"110","ACCO 102","Intermediate Accounting 1","3","0","3","3","2024-10-24 02:35:56","2024-10-24 02:47:19"
"111","ACCO 103","Conceptual Framework and Accounting Standards","3","0","3","3","2024-10-24 02:36:52","2024-10-24 02:36:52"
"112","GEED 004","Mathematics in the Modern World","3","0","3","3","2024-10-24 02:37:15","2024-10-24 02:37:15"
"113","ECON 306","Economic Development","3","0","3","3","2024-10-24 02:37:43","2024-10-24 02:37:43"
"114","GEED 032","Filipinolohiya at Pambansang Kaunlaran","3","0","3","3","2024-10-24 02:38:18","2024-10-24 02:38:18"
"115","GEED 005","Purposive Communication","3","0","3","3","2024-10-24 02:38:46","2024-10-24 02:38:46"
"116","GEED 012","Living in the IT Era","3","0","3","3","2024-10-24 02:40:31","2024-10-24 02:40:31"
"117","CTWS 002","National Service Training Program 2","3","0","3","3","2024-10-24 02:41:13","2024-10-24 02:41:13"
"118","PATHFit 2","Physical Activity Towards Health and Fitness 2","2","0","2","2","2024-10-24 02:41:47","2024-10-24 02:41:47"
"119","GEED 035","Panitikang Filipino","3","0","3","3","2024-10-24 02:42:25","2024-10-24 02:42:25"
"120","GEED 002","Reading in Philippine History","3","0","3","3","2024-10-24 02:42:51","2024-10-24 02:42:51"
"121","GEED 024","Business Logic","3","0","3","3","2024-10-24 02:43:10","2024-10-24 02:43:10"
"122","ACCO 201","Intermediate Accounting 2","3","0","3","3","2024-10-24 02:45:06","2024-10-24 02:45:06"
"123","ACCO 202","Cost Accounting and Control","3","0","3","3","2024-10-24 02:46:00","2024-10-24 02:46:00"
"124","ACCO 203","Income Taxation","3","0","3","3","2024-10-24 02:48:14","2024-10-24 02:48:14"
"125","ACCO 204","Financial Management","3","0","3","3","2024-10-24 02:49:07","2024-10-24 02:49:07"
"126","LAW 012","Business Laws and Regulations","3","0","3","3","2024-10-24 02:49:36","2024-10-24 02:49:36"
"127","GEED 008","Ethics","3","0","3","3","2024-10-24 02:49:54","2024-10-24 02:49:54"
"128","GEED 020","Politics, Governance, and Citizenship","3","0","3","3","2024-10-24 02:50:22","2024-10-24 02:50:22"
"129","BUMA 011","Operations Management (TQM)","3","0","3","3","2024-10-24 02:50:55","2024-10-24 02:50:55"
"130","PATHFit 3","Physical Activity Towards Health and Fitness 3","2","0","2","2","2024-10-24 02:51:32","2024-10-24 02:51:32"
"131","ACCO 205","Strategic Cost Management","3","0","3","3","2024-10-24 02:52:40","2024-10-24 02:52:40"
"132","ACCO 206","Accounting for Special Transactions","3","0","3","3","2024-10-24 02:53:36","2024-10-24 02:53:36"
"133","ACCO 207","Financial Markets","3","0","3","3","2024-10-24 02:54:32","2024-10-24 02:54:32"
"134","ACCO 208","Business Taxation","3","0","3","3","2024-10-24 02:55:35","2024-10-24 02:55:35"
"135","ACCO 209","Intermediate Accounting 3","3","0","3","3","2024-10-24 02:56:51","2024-10-24 02:56:51"
"136","LAW 013","Regulatory Framework and Legal Issues in Business","3","0","3","3","2024-10-24 02:57:47","2024-10-24 02:57:47"
"137","STAT 203","Statistical Analysis with Software Application","2","3","3","5","2024-10-24 02:58:23","2024-10-24 02:58:23"
"138","BUMA 020","Management Science","3","0","3","3","2024-10-24 03:00:11","2024-10-24 03:00:11"
"139","ACCO 20213","Accounting Principles","3","0","3","3","2024-10-24 07:32:47","2024-10-24 07:32:47"
"140","COMP 20013","Introduction to Computing","2","3","3","5","2024-10-24 07:33:12","2024-10-24 07:33:12"
"141","COMP 20023","Computer Programming 1","2","3","3","5","2024-10-24 07:33:33","2024-10-24 07:33:33"
"142","GEED 10053","Mathematics in the Modern World","3","0","3","3","2024-10-24 07:34:03","2024-10-24 07:34:03"
"143","GEED 10063","Purposive Communication","3","0","3","3","2024-10-24 07:34:27","2024-10-24 07:34:27"
"144","GEED 10103","Filipinolohiya at Pambansang Kaunlaran","3","0","3","3","2024-10-24 07:35:06","2024-10-24 07:35:06"
"145","NSTP 10013","CWTS/ROTC","3","0","3","0","2024-10-24 07:35:53","2024-10-24 07:35:53"
"146","PHED 01","Physical Education 1","2","0","2","2","2024-10-24 07:36:21","2024-10-24 07:36:21"
"147","COMP 20033","Computer Programming 2","2","3","3","5","2024-10-24 07:36:54","2024-10-24 07:36:54"
"148","COMP 20043","Discrete Structures 1","3","0","3","3","2024-10-24 07:37:29","2024-10-24 07:37:29"
"149","GEED 10033","Readings in Philippine History","3","0","3","3","2024-10-24 07:39:59","2024-10-24 07:39:59"
"150","GEED 10113","Pagsasalin sa Kontekstong Filipino","3","0","3","3","2024-10-24 07:40:37","2024-10-24 07:40:37"
"151","GEED 20023","Politics, Governance and Citizenship","3","0","3","3","2024-10-24 07:41:07","2024-10-24 07:41:07"
"152","NSTP 10023","CWTS/ROTC","3","0","3","0","2024-10-24 07:41:33","2024-10-24 07:41:33"
"153","PHED 02","Physical Education 2","2","0","2","2","2024-10-24 07:42:06","2024-10-24 07:42:06"
"154","GEED 10023","Understanding the Self","3","0","3","3","2024-10-24 07:42:44","2024-10-24 07:42:44"
"155","GEED 20093","Reading Visual Arts","3","0","3","3","2024-10-24 07:43:10","2024-10-24 07:43:10"
"156","GEED 10223","World Literature","3","0","3","3","2024-10-24 07:43:34","2024-10-24 07:43:34"
"157","COMP 20103","Operating Systems","2","3","3","5","2024-10-24 07:44:19","2024-10-24 07:44:19"
"158","INTE 30013","Programming 3 (Structured Programming)","2","3","3","5","2024-10-24 07:44:56","2024-10-24 07:44:56"
"159","COMP 20173","Data Communications and Networking","2","3","3","5","2024-10-24 07:45:24","2024-10-24 07:45:24"
"160","COMP 20063","Data Structures and Algorithms","2","3","3","5","2024-10-24 07:46:12","2024-10-24 07:46:12"
"161","PHED 03","Physical Education 3","2","0","2","2","2024-10-24 07:46:48","2024-10-24 07:46:48"
"162","COMP 20083","Object Oriented Programming","2","3","3","5","2024-10-24 07:47:55","2024-10-24 07:47:55"
"163","COMP 20093","Information Management","2","3","3","5","2024-10-24 07:48:26","2024-10-24 07:48:26"
"164","COMP 20143","Human Computer Interaction","3","0","3","3","2024-10-24 07:48:53","2024-10-24 07:48:53"
"165","COMP 20193","Network Administration","2","3","3","5","2024-10-24 07:49:34","2024-10-24 07:49:34"
"166","COMP 20203","Quantitative Methods with Modeling and Simulation","3","0","3","3","2024-10-24 07:50:20","2024-10-24 07:50:20"
"167","GEED 20113","People and the Earth's Ecosystem","3","0","3","3","2024-10-24 07:50:46","2024-10-24 07:50:46"
"168","INTE 30023","Integrative Programming and Technologies 1","2","3","3","5","2024-10-24 07:51:22","2024-10-24 07:51:22"
"169","PHED 04","Physical Education 4","2","0","2","2","2024-10-24 07:51:45","2024-10-24 07:51:45"
"170","COMP 20123","Fundamentals of Research","3","0","3","3","2024-10-24 07:52:36","2024-10-24 07:52:36"
"171","COMP 20163","Web Development","2","3","3","5","2024-10-24 07:53:15","2024-10-24 07:53:15"
