"section_course_id","sections_per_program_year_id","course_assignment_id","is_copy","created_at","updated_at"
"356","95","50","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"357","95","51","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"358","95","52","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"359","95","49","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"360","95","48","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"361","95","47","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"362","95","54","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"363","95","53","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"364","96","69","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"365","96","70","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"366","96","66","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"367","96","68","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"368","96","63","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"369","96","64","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"370","96","67","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"371","96","65","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"372","97","85","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"373","97","80","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"374","97","82","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"375","97","84","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"376","97","79","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"377","97","81","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"378","97","83","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"379","98","96","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"380","98","95","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"381","98","98","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"382","98","99","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"383","98","97","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"384","98","100","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"385","102","103","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"386","102","108","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"387","102","106","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"388","102","105","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"389","102","107","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"390","102","104","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"391","102","109","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"392","103","122","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"393","103","123","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"394","103","124","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"395","103","125","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"396","103","129","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"397","103","127","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"398","103","128","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"399","103","126","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"400","103","130","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"401","104","275","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"402","104","276","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"403","104","277","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"404","104","278","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"405","104","279","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"406","104","280","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"407","105","289","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"408","105","290","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"409","105","291","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"410","106","300","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"411","106","302","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"412","106","305","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"413","106","304","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"414","106","301","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"415","106","299","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"416","106","303","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"417","106","306","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"418","107","318","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"419","107","320","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"420","107","316","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"421","107","321","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"422","107","319","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"423","107","317","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"424","107","322","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"425","108","339","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"426","108","337","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"427","108","333","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"428","108","334","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"429","108","336","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"430","108","340","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"431","108","335","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"432","108","338","0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"433","99","1","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"434","99","2","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"435","99","3","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"436","99","4","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"437","99","5","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"438","99","6","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"439","99","7","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"440","99","8","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"441","99","9","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"442","100","20","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"443","100","21","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"444","100","22","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"445","100","23","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"446","100","24","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"447","100","25","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"448","100","26","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"449","100","27","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"450","101","39","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"451","101","40","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"452","101","41","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"453","101","42","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"454","101","43","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"455","101","44","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"456","101","45","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
